Frequency,Signal
0,-10.5806
125000,-70.2293
250000,-71.3231
375000,-70.8106
500000,-72.5529
625000,-71.3219
750000,-71.0033
875000,-71.6027
1.00E+06,-73.8724
1.13E+06,-71.7981
1.25E+06,-72.4348
1.38E+06,-72.6691
1.50E+06,-72.2493
1.63E+06,-72.7547
1.75E+06,-71.4035
1.88E+06,-71.2821
2.00E+06,-73.1242
2.13E+06,-72.8448
2.25E+06,-72.8719
2.38E+06,-73.8244
2.50E+06,-71.963
2.63E+06,-72.5253
2.75E+06,-72.332
2.88E+06,-72.7655
3.00E+06,-72.4198
3.13E+06,-71.3169
3.25E+06,-74.0762
3.38E+06,-73.5339
3.50E+06,-72.8666
3.63E+06,-73.4751
3.75E+06,-72.3352
3.88E+06,-72.1988
4.00E+06,-72.6656
4.13E+06,-72.6245
4.25E+06,-73.2383
4.38E+06,-71.3359
4.50E+06,-72.9289
4.63E+06,-71.1659
4.75E+06,-73.6959
4.88E+06,-71.8325
5.00E+06,-71.7057
5.13E+06,-71.388
5.25E+06,-73.8354
5.38E+06,-73.4965
5.50E+06,-71.0997
5.63E+06,-73.047
5.75E+06,-73.4171
5.88E+06,-71.4277
6.00E+06,-72.491
6.13E+06,-72.5757
6.25E+06,-72.729
6.38E+06,-72.9063
6.50E+06,-72.1229
6.63E+06,-71.6831
6.75E+06,-73.1157
6.88E+06,-72.5934
7.00E+06,-72.5349
7.13E+06,-72.3586
7.25E+06,-72.38
7.38E+06,-72.4037
7.50E+06,-72.7904
7.63E+06,-73.6257
7.75E+06,-72.7398
7.88E+06,-72.6303
8.00E+06,-74.0274
8.13E+06,-73.1648
8.25E+06,-71.5945
8.38E+06,-72.594
8.50E+06,-73.0294
8.63E+06,-72.1745
8.75E+06,-72.7869
8.88E+06,-71.9879
9.00E+06,-72.6562
9.13E+06,-72.7369
9.25E+06,-72.6172
9.38E+06,-73.6387
9.50E+06,-73.0619
9.63E+06,-71.053
9.75E+06,-71.9202
9.88E+06,-73.9571
1.00E+07,-72.878
1.01E+07,-73.1057
1.03E+07,-74.1845
1.04E+07,-72.2204
1.05E+07,-74.2098
1.06E+07,-73.3035
1.08E+07,-71.169
1.09E+07,-72.9468
1.10E+07,-72.2355
1.11E+07,-72.2987
1.13E+07,-72.7306
1.14E+07,-73.2111
1.15E+07,-70.6069
1.16E+07,-71.8651
1.18E+07,-73.5933
1.19E+07,-71.5444
1.20E+07,-72.2659
1.21E+07,-71.1158
1.23E+07,-70.9731
1.24E+07,-74.6268
1.25E+07,-72.2212
1.26E+07,-72.5315
1.28E+07,-72.4039
1.29E+07,-73.51
1.30E+07,-72.3673
1.31E+07,-71.6587
1.33E+07,-72.5934
1.34E+07,-72.8431
1.35E+07,-74.5283
1.36E+07,-71.4208
1.38E+07,-72.0962
1.39E+07,-73.2311
1.40E+07,-72.2726
1.41E+07,-72.7109
1.43E+07,-71.8846
1.44E+07,-72.0746
1.45E+07,-73.4036
1.46E+07,-72.341
1.48E+07,-72.6988
1.49E+07,-72.5536
1.50E+07,-72.6839
1.51E+07,-72.4633
1.53E+07,-73.7053
1.54E+07,-73.0212
1.55E+07,-72.4052
1.56E+07,-71.9054
1.58E+07,-72.5768
1.59E+07,-72.2248
1.60E+07,-73.7718
1.61E+07,-73.485
1.63E+07,-72.7135
1.64E+07,-72.9211
1.65E+07,-73.0996
1.66E+07,-72.1023
1.68E+07,-59.6456
1.69E+07,-71.5465
1.70E+07,-71.9964
1.71E+07,-73.4832
1.73E+07,-71.6524
1.74E+07,-72.7534
1.75E+07,-73.4336
1.76E+07,-73.1699
1.78E+07,-71.0529
1.79E+07,-72.9167
1.80E+07,-72.5569
1.81E+07,-72.6129
1.83E+07,-71.8113
1.84E+07,-71.6941
1.85E+07,-71.2144
1.86E+07,-73.0997
1.88E+07,-72.9074
1.89E+07,-72.0416
1.90E+07,-71.7376
1.91E+07,-73.9496
1.93E+07,-70.9547
1.94E+07,-70.8808
1.95E+07,-71.3372
1.96E+07,-72.0181
1.98E+07,-70.773
1.99E+07,-72.987
2.00E+07,-72.0274
2.01E+07,-71.9445
2.03E+07,-72.7622
2.04E+07,-73.3992
2.05E+07,-73.2738
2.06E+07,-72.9127
2.08E+07,-71.3129
2.09E+07,-73.1018
2.10E+07,-73.5808
2.11E+07,-71.6219
2.13E+07,-73.831
2.14E+07,-70.8648
2.15E+07,-71.4092
2.16E+07,-72.5021
2.18E+07,-72.1546
2.19E+07,-71.0118
2.20E+07,-72.3103
2.21E+07,-72.4377
2.23E+07,-70.4844
2.24E+07,-71.1617
2.25E+07,-72.0135
2.26E+07,-72.2716
2.28E+07,-71.8217
2.29E+07,-73.3548
2.30E+07,-72.2861
2.31E+07,-72.3474
2.33E+07,-73.9377
2.34E+07,-71.5246
2.35E+07,-71.9037
2.36E+07,-71.7543
2.38E+07,-72.3503
2.39E+07,-71.9605
2.40E+07,-72.3289
2.41E+07,-72.498
2.43E+07,-71.5805
2.44E+07,-72.2481
2.45E+07,-71.1543
2.46E+07,-72.4252
2.48E+07,-71.8407
2.49E+07,-71.4605
2.50E+07,-70.9948
2.51E+07,-73.0695
2.53E+07,-72.5027
2.54E+07,-72.3757
2.55E+07,-72.6248
2.56E+07,-72.2565
2.58E+07,-72.2158
2.59E+07,-71.1065
2.60E+07,-70.9847
2.61E+07,-72.0513
2.63E+07,-73.3235
2.64E+07,-71.9298
2.65E+07,-71.0043
2.66E+07,-71.3344
2.68E+07,-72.2184
2.69E+07,-72.825
2.70E+07,-71.5999
2.71E+07,-70.9419
2.73E+07,-72.2998
2.74E+07,-71.4954
2.75E+07,-72.2206
2.76E+07,-70.8303
2.78E+07,-72.6357
2.79E+07,-72.0956
2.80E+07,-71.7639
2.81E+07,-71.5466
2.83E+07,-71.7522
2.84E+07,-71.9636
2.85E+07,-71.9313
2.86E+07,-72.3669
2.88E+07,-72.8404
2.89E+07,-72.4227
2.90E+07,-71.5625
2.91E+07,-72.0599
2.93E+07,-71.7782
2.94E+07,-73.6966
2.95E+07,-73.0744
2.96E+07,-69.936
2.98E+07,-71.1279
2.99E+07,-71.3252
3.00E+07,-71.679
3.01E+07,-72.1499
3.03E+07,-72.3078
3.04E+07,-71.616
3.05E+07,-71.4655
3.06E+07,-70.6552
3.08E+07,-71.3241
3.09E+07,-71.585
3.10E+07,-71.7435
3.11E+07,-73.0463
3.13E+07,-72.222
3.14E+07,-71.2176
3.15E+07,-72.2359
3.16E+07,-70.7022
3.18E+07,-71.6361
3.19E+07,-70.526
3.20E+07,-71.1549
3.21E+07,-73.7165
3.23E+07,-72.0749
3.24E+07,-70.9239
3.25E+07,-69.8326
3.26E+07,-72.0329
3.28E+07,-72.3685
3.29E+07,-70.6062
3.30E+07,-71.2305
3.31E+07,-71.8308
3.33E+07,-72.3086
3.34E+07,-70.9386
3.35E+07,-71.8829
3.36E+07,-71.2289
3.38E+07,-70.1702
3.39E+07,-71.1686
3.40E+07,-71.108
3.41E+07,-71.1556
3.43E+07,-70.0414
3.44E+07,-70.8331
3.45E+07,-72.5488
3.46E+07,-71.4202
3.48E+07,-71.2336
3.49E+07,-69.8961
3.50E+07,-71.3509
3.51E+07,-70.525
3.53E+07,-71.4873
3.54E+07,-70.3189
3.55E+07,-69.6813
3.56E+07,-72.2592
3.58E+07,-70.1957
3.59E+07,-69.1432
3.60E+07,-68.3742
3.61E+07,-69.6115
3.63E+07,-69.1626
3.64E+07,-67.4817
3.65E+07,-68.8896
3.66E+07,-67.3445
3.68E+07,-68.6797
3.69E+07,-68.3972
3.70E+07,-67.6053
3.71E+07,-66.6042
3.73E+07,-67.8963
3.74E+07,-66.8956
3.75E+07,-67.4468
3.76E+07,-65.8817
3.78E+07,-64.2675
3.79E+07,-64.2465
3.80E+07,-63.5493
3.81E+07,-61.6665
3.83E+07,-61.4363
3.84E+07,-58.4975
3.85E+07,-58.72
3.86E+07,-54.9823
3.88E+07,-54.5497
3.89E+07,-53.3973
3.90E+07,-52.0482
3.91E+07,5.4736
3.93E+07,-24.458
3.94E+07,-54.5303
3.95E+07,-55.7533
3.96E+07,-54.5232
3.98E+07,-56.9962
3.99E+07,-57.8917
4.00E+07,-61.6181
4.01E+07,-62.368
4.03E+07,-63.1633
4.04E+07,-63.5837
4.05E+07,-64.1773
4.06E+07,-65.8313
4.08E+07,-64.8187
4.09E+07,-66.3115
4.10E+07,-67.209
4.11E+07,-66.4931
4.13E+07,-67.7347
4.14E+07,-67.6937
4.15E+07,-68.9568
4.16E+07,-69.0121
4.18E+07,-69.7164
4.19E+07,-69.4512
4.20E+07,-68.9
4.21E+07,-68.4794
4.23E+07,-68.6196
4.24E+07,-68.9996
4.25E+07,-70.558
4.26E+07,-68.9327
4.28E+07,-70.7587
4.29E+07,-71.4777
4.30E+07,-70.2484
4.31E+07,-70.019
4.33E+07,-68.7729
4.34E+07,-71.0957
4.35E+07,-70.6417
4.36E+07,-71.9201
4.38E+07,-69.4849
4.39E+07,-70.9975
4.40E+07,-72.2342
4.41E+07,-71.2883
4.43E+07,-71.1339
4.44E+07,-70.0475
4.45E+07,-72.0738
4.46E+07,-71.7865
4.48E+07,-70.7207
4.49E+07,-70.4753
4.50E+07,-69.9126
4.51E+07,-69.6082
4.53E+07,-69.0407
4.54E+07,-72.368
4.55E+07,-72.534
4.56E+07,-72.2211
4.58E+07,-72.9536
4.59E+07,-71.0957
4.60E+07,-72.3896
4.61E+07,-71.6071
4.63E+07,-71.1113
4.64E+07,-72.25
4.65E+07,-72.2558
4.66E+07,-70.6389
4.68E+07,-72.1314
4.69E+07,-71.8261
4.70E+07,-71.3638
4.71E+07,-71.2005
4.73E+07,-72.0746
4.74E+07,-69.6967
4.75E+07,-71.0864
4.76E+07,-71.8121
4.78E+07,-70.714
4.79E+07,-71.3324
4.80E+07,-72.0459
4.81E+07,-71.5365
4.83E+07,-71.8755
4.84E+07,-70.1164
4.85E+07,-71.6356
4.86E+07,-71.2733
4.88E+07,-70.5323
4.89E+07,-74.8758
4.90E+07,-71.4063
4.91E+07,-71.1923
4.93E+07,-71.0669
4.94E+07,-70.9995
4.95E+07,-72.4004
4.96E+07,-73.5591
4.98E+07,-71.6768
4.99E+07,-72.2007
5.00E+07,-71.3336
5.01E+07,-72.2219
5.03E+07,-71.4179
5.04E+07,-71.5846
5.05E+07,-71.7469
5.06E+07,-69.9765
5.08E+07,-72.9728
5.09E+07,-72.9777
5.10E+07,-73.5891
5.11E+07,-71.9456
5.13E+07,-72.5433
5.14E+07,-71.7644
5.15E+07,-72.4702
5.16E+07,-72.8786
5.18E+07,-72.3519
5.19E+07,-72.32
5.20E+07,-71.6951
5.21E+07,-72.886
5.23E+07,-72.378
5.24E+07,-71.6072
5.25E+07,-71.7457
5.26E+07,-71.2605
5.28E+07,-72.2193
5.29E+07,-72.8683
5.30E+07,-70.2943
5.31E+07,-72.2135
5.33E+07,-72.6568
5.34E+07,-72.4955
5.35E+07,-73.3858
5.36E+07,-72.5086
5.38E+07,-71.9951
5.39E+07,-72.5905
5.40E+07,-72.5361
5.41E+07,-71.7509
5.43E+07,-72.0783
5.44E+07,-70.2386
5.45E+07,-71.7359
5.46E+07,-71.1592
5.48E+07,-72.9013
5.49E+07,-71.5848
5.50E+07,-70.6034
5.51E+07,-71.2997
5.53E+07,-72.6355
5.54E+07,-70.8779
5.55E+07,-73.0484
5.56E+07,-74.8885
5.58E+07,-72.9999
5.59E+07,-72.8254
5.60E+07,-72.9331
5.61E+07,-71.5614
5.63E+07,-70.0145
5.64E+07,-71.3848
5.65E+07,-72.2337
5.66E+07,-73.1919
5.68E+07,-72.8464
5.69E+07,-71.6194
5.70E+07,-70.6959
5.71E+07,-73.5777
5.73E+07,-71.6097
5.74E+07,-72.7945
5.75E+07,-72.5612
5.76E+07,-71.7544
5.78E+07,-71.3758
5.79E+07,-70.6788
5.80E+07,-72.2552
5.81E+07,-72.5981
5.83E+07,-72.1454
5.84E+07,-73.3403
5.85E+07,-72.5203
5.86E+07,-72.8376
5.88E+07,-72.1887
5.89E+07,-71.9468
5.90E+07,-72.5967
5.91E+07,-71.9367
5.93E+07,-72.3048
5.94E+07,-71.7095
5.95E+07,-71.6093
5.96E+07,-71.5362
5.98E+07,-72.4586
5.99E+07,-72.6076
6.00E+07,-72.0207
6.01E+07,-72.6836
6.03E+07,-71.3069
6.04E+07,-72.0354
6.05E+07,-72.6948
6.06E+07,-71.6361
6.08E+07,-72.7941
6.09E+07,-73.5491
6.10E+07,-72.358
6.11E+07,-72.5991
6.13E+07,-72.1484
6.14E+07,-72.5817
6.15E+07,-58.8618
6.16E+07,-71.9098
6.18E+07,-72.1441
6.19E+07,-72.9891
6.20E+07,-72.5752
6.21E+07,-72.9662
6.23E+07,-71.933
6.24E+07,-71.3909
6.25E+07,-72.79
6.26E+07,-71.7278
6.28E+07,-72.3033
6.29E+07,-72.2817
6.30E+07,-72.1798
6.31E+07,-72.9873
6.33E+07,-71.9521
6.34E+07,-72.3629
6.35E+07,-73.6079
6.36E+07,-73.3572
6.38E+07,-71.6887
6.39E+07,-71.9374
6.40E+07,-72.5944
6.41E+07,-73.3895
6.43E+07,-72.0109
6.44E+07,-73.4752
6.45E+07,-74.5819
6.46E+07,-72.3315
6.48E+07,-72.4683
6.49E+07,-72.0289
6.50E+07,-72.1681
6.51E+07,-71.1294
6.53E+07,-72.2861
6.54E+07,-73.1039
6.55E+07,-71.4145
6.56E+07,-72.6425
6.58E+07,-72.9293
6.59E+07,-73.2488
6.60E+07,-72.9731
6.61E+07,-71.9263
6.63E+07,-72.1152
6.64E+07,-72.7838
6.65E+07,-74.0951
6.66E+07,-74.2977
6.68E+07,-71.74
6.69E+07,-73.3216
6.70E+07,-71.269
6.71E+07,-72.009
6.73E+07,-72.8086
6.74E+07,-72.4227
6.75E+07,-73.6404
6.76E+07,-73.626
6.78E+07,-71.5157
6.79E+07,-72.834
6.80E+07,-72.7978
6.81E+07,-73.7954
6.83E+07,-72.3311
6.84E+07,-72.493
6.85E+07,-71.7683
6.86E+07,-73.6664
6.88E+07,-72.1296
6.89E+07,-71.8625
6.90E+07,-72.3982
6.91E+07,-72.8245
6.93E+07,-72.2446
6.94E+07,-72.2733
6.95E+07,-74.0785
6.96E+07,-72.6989
6.98E+07,-72.5323
6.99E+07,-72.951
7.00E+07,-71.301
7.01E+07,-72.963
7.03E+07,-74.059
7.04E+07,-72.6827
7.05E+07,-72.8945
7.06E+07,-72.1208
7.08E+07,-72.6039
7.09E+07,-71.1353
7.10E+07,-72.7616
7.11E+07,-71.9285
7.13E+07,-73.2564
7.14E+07,-72.0965
7.15E+07,-72.6569
7.16E+07,-72.8577
7.18E+07,-73.6552
7.19E+07,-72.4243
7.20E+07,-72.5154
7.21E+07,-73.0661
7.23E+07,-72.769
7.24E+07,-72.7172
7.25E+07,-73.3483
7.26E+07,-70.5864
7.28E+07,-71.3724
7.29E+07,-71.4681
7.30E+07,-72.5599
7.31E+07,-71.0084
7.33E+07,-72.3021
7.34E+07,-71.8779
7.35E+07,-72.7759
7.36E+07,-72.8799
7.38E+07,-71.808
7.39E+07,-71.7274
7.40E+07,-73.4603
7.41E+07,-72.5736
7.43E+07,-74.0387
7.44E+07,-71.9573
7.45E+07,-71.2014
7.46E+07,-72.2153
7.48E+07,-71.5326
7.49E+07,-73.9073
7.50E+07,-72.2731
7.51E+07,-72.4717
7.53E+07,-72.196
7.54E+07,-72.9084
7.55E+07,-73.1473
7.56E+07,-73.4946
7.58E+07,-72.3285
7.59E+07,-72.2368
7.60E+07,-71.7711
7.61E+07,-73.0959
7.63E+07,-72.2689
7.64E+07,-73.0759
7.65E+07,-71.4925
7.66E+07,-71.5647
7.68E+07,-73.3948
7.69E+07,-72.1826
7.70E+07,-71.4809
7.71E+07,-71.3681
7.73E+07,-71.1837
7.74E+07,-71.1647
7.75E+07,-71.5618
7.76E+07,-71.6911
7.78E+07,-71.7456
7.79E+07,-70.3417
7.80E+07,-69.8842
7.81E+07,-68.1942
7.83E+07,-19.9183
7.84E+07,-13.8799
7.85E+07,-69.7277
7.86E+07,-71.2274
7.88E+07,-69.7128
7.89E+07,-71.1261
7.90E+07,-71.7519
7.91E+07,-71.6365
7.93E+07,-69.7954
7.94E+07,-69.4736
7.95E+07,-71.2634
7.96E+07,-71.9827
7.98E+07,-73.1021
7.99E+07,-72.8769
8.00E+07,-71.9467
8.01E+07,-71.3226
8.03E+07,-73.7163
8.04E+07,-71.7129
8.05E+07,-73.4626
8.06E+07,-72.7477
8.08E+07,-72.069
8.09E+07,-72.803
8.10E+07,-72.2606
8.11E+07,-72.7676
8.13E+07,-72.3937
8.14E+07,-73.4449
8.15E+07,-72.4125
8.16E+07,-71.7736
8.18E+07,-73.104
8.19E+07,-71.7516
8.20E+07,-73.2624
8.21E+07,-72.2851
8.23E+07,-74.2397
8.24E+07,-72.4416
8.25E+07,-71.6552
8.26E+07,-71.8315
8.28E+07,-72.4499
8.29E+07,-72.0804
8.30E+07,-71.4093
8.31E+07,-71.0453
8.33E+07,-72.8722
8.34E+07,-71.5902
8.35E+07,-72.0479
8.36E+07,-72.4828
8.38E+07,-72.0873
8.39E+07,-74.0606
8.40E+07,-72.4222
8.41E+07,-72.2033
8.43E+07,-72.2429
8.44E+07,-71.4409
8.45E+07,-71.9943
8.46E+07,-73.0478
8.48E+07,-73.138
8.49E+07,-72.4309
8.50E+07,-71.7303
8.51E+07,-72.2351
8.53E+07,-72.738
8.54E+07,-72.102
8.55E+07,-73.5981
8.56E+07,-71.7277
8.58E+07,-72.1661
8.59E+07,-71.0201
8.60E+07,-71.5743
8.61E+07,-73.4318
8.63E+07,-73.0004
8.64E+07,-72.5908
8.65E+07,-72.2627
8.66E+07,-73.4446
8.68E+07,-72.6248
8.69E+07,-72.684
8.70E+07,-73.2467
8.71E+07,-70.7044
8.73E+07,-72.3801
8.74E+07,-72.6769
8.75E+07,-72.5628
8.76E+07,-73.8043
8.78E+07,-73.8363
8.79E+07,-73.9448
8.80E+07,-73.0605
8.81E+07,-72.2528
8.83E+07,-72.9636
8.84E+07,-71.6306
8.85E+07,-71.531
8.86E+07,-73.4894
8.88E+07,-73.9619
8.89E+07,-73.11
8.90E+07,-72.5073
8.91E+07,-72.4478
8.93E+07,-73.5824
8.94E+07,-72.7528
8.95E+07,-70.8881
8.96E+07,-72.7186
8.98E+07,-71.2031
8.99E+07,-73.4698
9.00E+07,-73.6069
9.01E+07,-72.899
9.03E+07,-72.8417
9.04E+07,-73.1952
9.05E+07,-73.391
9.06E+07,-72.6137
9.08E+07,-72.8627
9.09E+07,-72.5393
9.10E+07,-72.2956
9.11E+07,-71.672
9.13E+07,-72.2285
9.14E+07,-73.2604
9.15E+07,-74.6282
9.16E+07,-73.3992
9.18E+07,-71.7209
9.19E+07,-72.3872
9.20E+07,-72.6725
9.21E+07,-72.6062
9.23E+07,-72.933
9.24E+07,-74.5309
9.25E+07,-72.6073
9.26E+07,-73.3342
9.28E+07,-71.4703
9.29E+07,-71.6351
9.30E+07,-72.2132
9.31E+07,-72.7082
9.33E+07,-71.3238
9.34E+07,-72.063
9.35E+07,-73.9895
9.36E+07,-73.5582
9.38E+07,-71.9368
9.39E+07,-72.98
9.40E+07,-72.1002
9.41E+07,-73.6374
9.43E+07,-73.488
9.44E+07,-73.5806
9.45E+07,-73.0484
9.46E+07,-72.2337
9.48E+07,-72.233
9.49E+07,-72.5888
9.50E+07,-72.5334
9.51E+07,-72.2331
9.53E+07,-73.3471
9.54E+07,-73.2367
9.55E+07,-72.4021
9.56E+07,-71.007
9.58E+07,-73.0701
9.59E+07,-72.3345
9.60E+07,-73.1285
9.61E+07,-73.2226
9.63E+07,-72.9326
9.64E+07,-72.9352
9.65E+07,-72.8457
9.66E+07,-72.1709
9.68E+07,-73.6584
9.69E+07,-72.1463
9.70E+07,-71.999
9.71E+07,-72.6925
9.73E+07,-72.0943
9.74E+07,-71.4524
9.75E+07,-72.0361
9.76E+07,-74.245
9.78E+07,-72.6861
9.79E+07,-73.1032
9.80E+07,-72.0478
9.81E+07,-71.4196
9.83E+07,-72.4173
9.84E+07,-72.9083
9.85E+07,-72.8477
9.86E+07,-71.3793
9.88E+07,-73.2657
9.89E+07,-73.1186
9.90E+07,-73.3862
9.91E+07,-74.0144
9.93E+07,-72.4887
9.94E+07,-71.26
9.95E+07,-72.9915
9.96E+07,-72.634
9.98E+07,-72.4971
9.99E+07,-72.5833
1.00E+08,-72.8225